"Title","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Arts, Entertainment & Recreation: Employment Weight","UK Job Vacancies (thousands) - Arts, Entertainment & Recreation.","AWE: Public Sector Arts, Entertainment & Recreation: Employment Weight","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Arrears","UK Workforce Jobs SA : R Arts, entertainment & recreation (thousands)","AWE: Arts, Entertainment & Recreation Level (£): Non Seasonally Adjusted Total Pay","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","UK Job Vacancies ratio per 100 emp jobs - Arts, Entertainment & Recreation","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Bonus","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Index: Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay","AWE: Public Sector Arts, Entertainment and Recreation Level (£): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Regular Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Including Arrears","AWE: Arts, Entertainment & Recreation Year on Year Single Month Growth (%): Non Seasonally Adjusted Total Pay Excluding Arrears","IoS: R: Art, Entertainment and Recreation: Weights"
"2012 DEC","13","2.0","13","0.1","14","0",,"374","1.9","1.9","5","0","145.4","143.6","9.8","444","9.8","9.4","9.4",
"2013 JAN","13","2.1","13","0.1","16","0",,"366","1.9","1.9","0","2","141.4","140.8","6.5","442","6.6","6.3","6.2",
"2013 FEB","13","2.0","13","0.1","5","0",,"356","1.9","1.9","0","0","141.9","137.0","7.3","441","7.3","6.6","6.6",
"2013 MAR","14","2.1","14","0.1","19","0",,"358","2.0","2.0","0","0","137.3","137.8","7.4","451","7.5","4.6","4.5",
"2013 APR","12","2.1","12","0.1","18","0",,"364","1.7","1.7","3","0","139.8","139.9","7.1","450","7.0","9.1","9.2",
"2013 MAY","11","2.1","11","0.1","19","0",,"367","1.7","1.7","5","0","140.4","141.0","6.6","447","6.6","9.1","9.1",
"2013 JUN","12","2.0","12","0.1","18","0",,"375","1.7","1.7","4","1","144.2","144.0","4.9","449","4.9","2.8","2.8",
"2013 JUL","12","2.1","12","0.1","10","0",,"363","1.8","1.8","4","3","142.6","139.6","4.6","449","4.5","4.2","4.3",
"2013 AUG","13","2.1","13","0.1","13","0",,"366","1.8","1.8","1","1","143.0","140.8","0.8","442","0.8","1.6","1.5",
"2013 SEP","11","2.1","11","0.1","19","0",,"365","1.6","1.6","1","0","139.7","140.2","-1.5","439","-1.6","0.1","0.1",
"2013 OCT","11","2.1","11","0.1","4","0",,"349","1.6","1.6","1","1","139.2","134.0","-0.3","441","-0.3","-0.8","-0.9",
"2013 NOV","10","2.1","10","0.1","13","0",,"350","1.5","1.5","1","0","136.2","134.6","-2.2","450","-2.3","-2.2","-2.1",
"2013 DEC","11","2.1","11","0.1","14","0",,"346","1.6","1.6","0","0","134.2","132.9","-7.6","444","-7.7","-7.5","-7.4",
"2014 JAN","13","2.1","13","0.1","12","1",,"363","1.9","1.9","0","3","142.0","139.6","0.2","447","0.4","-0.8","-1.0",
"2014 FEB","13","2.1","13","0.1","6","0",,"334","1.9","1.9","0","0","132.4","128.3","-6.7","450","-6.7","-6.4","-6.4",
"2014 MAR","15","2.1","15","0.1","13","0",,"329","2.1","2.1","0","0","127.7","126.4","-6.9","448","-6.9","-8.2","-8.2",
"2014 APR","15","2.2","15","0.1","14","0",,"351","2.1","2.1","1","0","136.3","134.9","-2.5","454","-2.5","-3.6","-3.5",
"2014 MAY","15","2.1","15","0.1","13","0",,"344","2.1","2.1","2","0","133.9","132.2","-4.6","454","-4.6","-6.2","-6.2",
"2014 JUN","16","2.1","16","0.1","15","0",,"354","2.3","2.3","5","0","137.4","136.2","-4.7","453","-4.7","-5.4","-5.5",
"2014 JUL","16","2.1","16","0.1","7","0",,"350","2.2","2.2","5","1","138.5","134.5","-2.8","451","-2.9","-3.7","-3.7",
"2014 AUG","14","2.2","14","0.1","6","1",,"338","2.0","2.0","6","0","134.4","130.1","-6.1","448","-6.0","-7.6","-7.7",
"2014 SEP","15","2.2","15","0.1","16","0",,"344","2.1","2.1","0","0","132.6","132.1","-5.2","451","-5.1","-5.8","-5.8",
"2014 OCT","13","2.2","13","0.1","8","1",,"333","1.9","1.9","1","3","131.4","128.2","-5.8","448","-5.6","-4.4","-4.5",
"2014 NOV","14","2.1","14","0.1","8","1",,"336","2.0","2.0","2","0","132.7","129.2","-2.8","448","-2.6","-4.0","-4.2",
"2014 DEC","14","2.1","14","0.1","18","1",,"341","1.9","1.9","3","1","130.5","131.1","-2.9","456","-2.8","-1.3","-1.5",
"2015 JAN","16","2.1","16","0.1","14","1",,"351","2.3","2.3","0","0","136.0","134.8","-4.1","452","-4.3","-3.4","-3.3",
"2015 FEB","17","2.1","17","0.1","11","0",,"330","2.3","2.3","0","0","129.2","127.0","-2.3","447","-2.4","-1.0","-0.9",
"2015 MAR","17","2.1","17","0.1","22","0",,"341","2.4","2.4","2","5","129.0","131.0","1.0","459","1.0","3.7","3.6",
"2015 APR","16","2.2","16","0.1","25","0",,"347","2.2","2.2","2","0","130.4","133.5","-4.3","455","-4.3","-1.0","-1.0",
"2015 MAY","16","2.2","16","0.1","11","0",,"336","2.2","2.2","0","0","131.3","129.0","-2.0","454","-2.0","-2.4","-2.5",
"2015 JUN","15","2.1","15","0.1","18","0",,"366","2.2","2.2","4","0","140.6","140.8","2.4","451","2.4","3.3","3.4",
"2015 JUL","16","2.1","16","0.1","17","0",,"372","2.2","2.2","7","1","143.6","143.1","3.6","456","3.7","6.4","6.4",
"2015 AUG","15","2.2","15","0.1","20","0",,"365","2.0","2.0","4","0","139.8","140.5","4.1","443","4.0","8.0","8.1",
"2015 SEP","14","2.2","14","0.1","29","0",,"381","2.0","2.0","1","1","142.3","146.6","7.4","447","7.4","11.0","11.0",
"2015 OCT","15","2.2","15","0.1","11","0",,"347","2.0","2.0","1","1","136.1","133.6","3.9","443","3.6","4.2","4.4",
"2015 NOV","16","2.2","16","0.1","7","0",,"346","2.2","2.2","1","0","136.9","132.8","3.4","447","3.2","2.8","3.0",
"2015 DEC","17","2.2","17","0.1","15","3",,"358","2.4","2.4","5","5","138.6","137.5","5.5","455","6.2","4.9","4.1",
"2016 JAN","17","2.1","17","0.1","10","0",,"365","2.3","2.3","0","0","143.5","140.4","5.7","451","5.6","4.2","4.3",
"2016 FEB","18","2.1","18","0.1","10","0",,"356","2.5","2.5","0","3","139.8","137.0","8.2","455","8.2","7.9","7.8",
"2016 MAR","18","2.1","18","0.1","14","0",,"361","2.4","2.4","2","0","140.0","138.7","8.6","455","8.5","5.8","5.8",
"2016 APR","17","2.2","17","0.1","37","0",,"382","2.3","2.3","2","0","139.8","147.0","7.2","458","7.2","10.2","10.2",
"2016 MAY","16","2.2","16","0.1","17","0",,"363","2.1","2.1","16","0","140.2","139.7","6.9","461","6.8","8.3","8.4",
"2016 JUN","18","2.1","18","0.1","20","0",,"376","2.5","2.5","4","0","143.9","144.4","2.3","454","2.3","2.6","2.6",
"2016 JUL","22","2.1","22","0.1","15","0",,"399","2.9","2.9","18","2","155.2","153.4","8.1","466","8.0","7.2","7.3",
"2016 AUG","24","2.2","24","0.1","35","0",,"398","3.3","3.3","4","1","146.6","152.9","4.9","455","4.9","8.9","8.8",
"2016 SEP","23","2.2","23","0.1","25","0",,"394","3.1","3.1","0","1","149.1","151.3","4.7","458","4.8","3.2","3.2",
"2016 OCT","21","2.2","21","0.1","13","0",,"377","2.8","2.8","0","0","147.2","145.1","8.2","452","8.1","8.6","8.6",
"2016 NOV","19","2.2","19","0.1","10","1",,"383","2.5","2.5","1","0","150.7","147.2","10.0","460","10.1","10.8","10.7",
"2016 DEC","17","2.2","17","0.1","17","0",,"380","2.3","2.3","0","0","146.9","146.2","6.8","464","6.0","6.3","7.2",
"2017 JAN","16","2.2","16","0.1","20","0",,"386","2.2","2.2","1","4","147.7","148.3","2.9","468","2.9","5.6","5.5",
"2017 FEB","15","2.2","15","0.1","91","0",,"449","2.0","2.0","0","1","145.0","172.7","3.7","461","3.7","26.0","26.1",
"2017 MAR","17","2.2","17","0.1","23","0",,"376","2.2","2.2","1","0","142.5","144.4","1.8","465","1.8","4.1","4.2",
"2017 APR","17","2.2","17","0.1","20","0",,"376","2.3","2.3","1","0","144.1","144.6","3.0","466","3.1","-1.7","-1.7",
"2017 MAY","18","2.2","18","0.1","16","0",,"378","2.3","2.3","0","0","146.4","145.3","4.3","465","4.4","4.0","4.0",
"2017 JUN","16","2.2","16","0.1","28","1",,"407","2.1","2.1","6","1","153.5","156.6","6.5","472","6.7","8.5","8.3",
"2017 JUL","14","2.2","14","0.1","28","0",,"420","1.8","1.8","20","0","158.5","161.4","2.1","472","2.1","5.2","5.2",
"2017 AUG","17","2.3","17","0.1","21","0",,"403","2.3","2.3","0","2","154.5","154.9","5.3","454","5.3","1.3","1.3",
"2017 SEP","18","2.3","18","0.1","21","1",,"407","2.4","2.4","2","2","156.1","156.4","4.6","464","4.7","3.3","3.3",
"2017 OCT","22","2.2","22","0.1","12","0",,"391","2.8","2.8","0","2","153.3","150.3","4.1","470","4.1","3.6","3.6",
"2017 NOV","20","2.2","20","0.1","12","0",,"396","2.7","2.7","1","1","155.6","152.4","3.3","469","3.3","3.6","3.6",
"2017 DEC","21","2.2","21","0.1","17","0",,"396","2.8","2.8","0","0","153.1","152.2","4.3","465","4.3","4.1","4.1",
"2018 JAN","20","2.2","20","0.1","13","1",,"374","2.7","2.7","1","3","146.1","143.9","-1.1","468","-1.0","-3.0","-3.0",
"2018 FEB","21","2.1","21","0.1","11","0",,"380","2.8","2.8","0","0","149.0","146.0","2.8","461","2.8","-15.5","-15.4",
"2018 MAR","22","2.2","22","0.1","28","0",,"392","2.9","2.9","0","1","147.0","150.7","3.2","461","3.2","4.3","4.4",
"2018 APR","22","2.2","22","0.1","13","0",,"375","3.0","3.0","1","0","146.1","144.1","1.4","470","1.4","-0.4","-0.3",
"2018 MAY","23","2.2","23","0.1","10","0",,"372","3.1","3.1","0","0","146.0","142.9","-0.2","464","-0.2","-1.7","-1.7",
"2018 JUN","21","2.2","21","0.1","18","0",,"388","2.8","2.8","5","0","149.6","149.1","-2.5","468","-2.6","-4.8","-4.7",
"2018 JUL","18","2.2","18","0.1","28","0",,"394","2.5","2.5","8","2","148.0","151.5","-6.6","467","-6.6","-6.2","-6.1",
"2018 AUG","17","2.2","17","0.1","21","1",,"404","2.3","2.3","2","0","155.0","155.3","0.3","456","0.3","0.2","0.2",
"2018 SEP","20","2.3","20","0.1","33","0",,"404","2.7","2.7","1","0","149.9","155.3","-3.8","463","-3.9","-0.7","-0.6",
"2018 OCT","23","2.2","23","0.1","16","1",,"392","3.1","3.1","2","3","152.1","150.8","-0.9","464","-0.8","0.3","0.2",
"2018 NOV","23","2.2","23","0.1","12","1",,"391","3.1","3.1","1","2","153.1","150.3","-1.8","466","-1.6","-1.4","-1.6",
"2018 DEC","23","2.2","23","0.1","15","0",,"393","3.0","3.0","1","3","152.9","151.2","-0.2","465","-0.2","-0.6","-0.6",
"2019 JAN","22","2.2","22","0.1","44","0",,"414","2.9","2.9","0","1","149.5","159.3","2.4","474","2.3","10.7","10.8",
"2019 FEB","23","2.2","23","0.1","15","0",,"388","3.0","3.0","0","0","150.7","149.1","1.1","482","1.2","2.2","2.1",
"2019 MAR","22","2.2","22","0.1","26","1",,"398","2.9","2.9","0","0","150.2","152.9","1.9","480","2.1","1.5","1.2",
"2019 APR","21","2.2","21","0.1","18","0",,"386","2.8","2.8","1","0","148.8","148.3","1.8","491","1.8","2.9","2.9",
"2019 MAY","20","2.3","20","0.1","13","0",,"372","2.6","2.6","0","0","145.4","143.1","-0.4","493","-0.4","0.2","0.2",
"2019 JUN","23","2.2","23","0.1","22","0",,"393","3.0","3.0","5","1","150.0","151.0","0.3","501","0.2","1.3","1.4",
"2019 JUL","23","2.2","23","0.1","29","0",,"402","3.0","3.0","17","3","150.7","154.5","1.8","496","1.8","2.0","2.0",
"2019 AUG","19","2.3","19","0.1","17","0",,"383","2.6","2.6","4","3","148.2","147.4","-4.3","480","-4.4","-5.1","-5.0",
"2019 SEP","17","2.2","17","0.1","29","0",,"400","2.2","2.2","0","2","149.8","153.7","-0.1","478","-0.1","-1.1","-1.1",
"2019 OCT","16","2.2","16","0.1","11","1",,"378","2.1","2.1","0","9","148.2","145.2","-2.5","490","-2.6","-3.8","-3.7",
"2019 NOV","18","2.2","18","0.1","9","0",,"373","2.4","2.4","5","3","147.1","143.3","-3.7","494","-3.9","-4.6","-4.5",
"2019 DEC","22","2.2","22","0.1","18","0",,"388","2.9","2.9","1","1","149.9","149.3","-1.9","487","-1.9","-1.3","-1.3",
"2020 JAN","23","2.2","23","0.1","36","0",,"417","3.3","3.3","0","4","154.1","160.3","3.1","488","3.1","0.6","0.6",
"2020 FEB","23","2.2","23","0.1","15","1",,"390","3.3","3.3","0","8","151.8","150.0","0.6","493","0.7","0.6","0.5",
"2020 MAR","15","2.2","15","0.1","17","0",,"386","2.1","2.1","0","0","149.2","148.6","-0.4","481","-0.7","-2.8","-2.6",
"2020 APR","9","2.2","9","0.1","10","0",,"362","1.3","1.3","2","0","142.3","139.1","-4.3","483","-4.4","-6.2","-6.1",
"2020 MAY","2","2.2","2","0.1","8","0",,"357","0.3","0.3","0","1","141.0","137.2","-3.0","483","-3.0","-4.2","-4.1",
"2020 JUN","2","2.2","2","0.1","22","0",,"380","0.3","0.3","0","1","144.9","146.2","-3.3","480","-3.4","-3.2","-3.2",
"2020 JUL","4","2.2","4","0.1","23","0",,"389","0.5","0.5","0","0","147.9","149.6","-1.8","482","-1.9","-3.2","-3.1",
"2020 AUG","4","2.2","4","0.1","44","0",,"420","0.6","0.6","4","0","151.9","161.4","2.6","496","2.5","9.5","9.6",
"2020 SEP","8","2.1","8","0.1","42","1",,"424","1.2","1.2","0","10","154.4","162.8","2.9","508","3.0","5.9","5.8",
"2020 OCT","10","2.1","10","0.1","13","0",,"427","1.4","1.4","1","0","167.3","164.1","13.0","506","12.9","13.0","13.1",
"2020 NOV","12","2.0","12","0.1","14","0",,"437","1.7","1.7","0","2","170.7","167.8","16.0","505","16.0","17.1","17.1",
"2020 DEC","10","2.1","10","0.1","29","3",,"466","1.5","1.5","0","0","176.6","179.2","17.2","526","17.8","20.0","19.4",
"2021 JAN","7","2.0","7","0.1","25","0",,"448","1.1","1.1","0","1","170.9","172.3","11.0","520","11.0","7.5","7.6",
"2021 FEB","6","1.9","6","0.1","24","1",,"446","0.8","0.8","0","2","170.8","171.5","12.6","526","12.5","14.3","14.4",
"2021 MAR","9","1.9","9","0.1","21","0",,"456","1.2","1.2","2","5","176.0","175.5","18.0","528","18.0","18.1","18.1",
"2021 APR","19","1.9","19","0.1","25","0",,"464","2.8","2.8","0","0","177.6","178.4","24.8","521","24.8","28.3","28.3",
"2021 MAY","25","1.9","25","0.1","15","0",,"455","3.6","3.6","0","0","178.1","175.1","26.3","521","26.4","27.6","27.6",
"2021 JUN","31","2.0","31","0.1","37","2",,"475","4.5","4.5","1","0","176.8","182.5","21.5","525","22.0","24.8","24.3",
"2021 JUL","30","2.0","30","0.1","36","0",,"440","4.2","4.2","0","0","163.4","169.0","10.5","509","10.5","13.0","12.9",
"2021 AUG","31","2.1","31","0.1","52","0",,"462","4.5","4.5","2","3","165.7","177.6","9.0","510","9.1","10.0","10.0",
"2021 SEP","34","2.1","34","0.1","34","0",,"450","4.9","4.9","7","0","168.1","173.0","9.0","506","8.9","6.2","6.4",
"2021 OCT","33","2.1","33","0.1","16","0",,"426","4.8","4.8","2","1","165.7","163.9","-1.0","514","-1.0","-0.1","-0.1",
"2021 NOV","33","2.1","33","0.1","15","1",,"424","4.7","4.7","7","4","165.3","163.0","-3.2","522","-3.2","-2.9","-2.9",
"2021 DEC","28","2.1","28","0.1","26","1",,"432","4.1","4.1","4","0","164.0","166.1","-6.8","516","-7.1","-7.3","-7.0",
"2022 JAN","32","2.0","32","0.1","28","2",,"448","4.2","4.2","4","0","169.7","172.3","-1.1","521","-0.7","0.0","-0.3",
"2022 FEB","35","2.1","35","0.1","27","1",,"436","4.6","4.6","0","3","165.3","167.6","-3.2","523","-3.2","-2.3","-2.3",
"2022 MAR","38","2.1","38","0.1","70","1",,"482","5.0","5.0","0","6","166.3","185.1","-5.7","529","-5.6","5.5","5.4",
"2022 APR","34","2.2","34","0.1","17","0",,"438","4.5","4.5","0","0","170.2","168.3","-4.2","533","-4.2","-5.7","-5.7",
"2022 MAY","33","2.2","33","0.1","31","0",,"441","4.4","4.4","0","1","165.7","169.6","-7.0","540","-7.0","-3.1","-3.1",
"2022 JUN","33","2.2","33","0.1","37","0",,"447","4.4","4.4","4","1","165.9","171.9","-5.8","540","-6.1","-5.8","-5.5",
"2022 JUL","34","2.1","34","0.1","66","1",,"501","4.5","4.5","4","1","175.8","192.5","7.5","529","7.6","13.9","13.7",
"2022 AUG","34","2.2","34","0.1","143","1",,"569","4.5","4.5","3","4","172.1","218.6","3.7","528","3.9","23.1","23.0",
"2022 SEP","30","2.2","30","0.1","33","1",,"469","4.0","4.0","8","18","176.4","180.4","4.8","558","5.0","4.3","4.1",
"2022 OCT","28","2.2","28","0.1","17","2",,"471","3.8","3.8","2","0","183.3","181.0","10.2","528","10.6","10.4","10.0",
"2022 NOV","25","2.2","25","0.1","26","4",,"495","3.4","3.4","4","27","189.6","190.2","13.8","566","14.7","16.7","15.9",
"2022 DEC","26","2.1","26","0.1","36","4",,"509","3.4","3.4","4","11","191.1","195.5","15.8","554","16.5","17.7","17.1",
"2023 JAN","28","2.1","28","0.1","19","0",,"441","3.4","3.4","0","1","170.6","169.7","0.9","542","0.5","-1.5","-1.2",
"2023 FEB","29","2.0","29","0.1","24","1",,"464","3.6","3.6","7","13","177.7","178.4","7.4","557","7.5","6.5","6.3",
"2023 MAR","28","2.1","28","0.1","41","0",,"476","3.5","3.5","0","3","175.9","183.1","5.9","548","5.8","-1.1","-1.0",
"2023 APR","28","2.1","28","0.1","29","0",,"473","3.4","3.4","0","0","179.5","181.8","5.4","548","5.5","8.0","8.0",
"2023 MAY","27","2.1","27","0.1","16","1",,"460","3.4","3.4","1","5","179.3","176.8","8.1","557","8.2","4.2","4.2",
"2023 JUN","28","2.1","28","0.1","48","0",,"492","3.5","3.5","13","1","179.6","189.2","8.3","558","8.2","10.1","10.1",
"2023 JUL","27","2.1","27","0.1","35","1",,"470","3.4","3.4","14","19","175.8","180.7","-0.1","574","0.0","-6.1","-6.2",
"2023 AUG","26","2.1","26","0.1","27","1",,"470","3.2","3.2","19","9","178.8","180.5","4.0","576","3.9","-17.4","-17.4",
"2023 SEP","22","2.2","22","0.1","51","1",,"487","2.7","2.7","16","6","176.5","187.4","0.1","569","0.0","3.9","3.9",
"2023 OCT","21","2.2","21","0.1","10","1",,"450","2.5","2.5","1","8","177.8","173.0","-2.8","562","-3.0","-4.4","-4.2",
"2023 NOV","18","2.1","18","0.1","16","4",,"478","2.2","2.2","0","13","186.7","183.8","-1.4","570","-1.5","-3.4","-3.3",
"2023 DEC","18","2.1","18","0.1","26","4",,"493","2.2","2.2","12","50","189.0","189.7","-1.2","614","-1.1","-3.0","-3.1",
"2024 JAN","15","2.2","15","0.1","24","2",,"470","1.8","1.8","0","8","180.3","180.5","5.2","564","5.7","6.4","5.9",
"2024 FEB","14","2.2","14","0.1","29","1",,"486","1.6","1.6","0","0","184.9","186.9","4.2","565","4.0","4.8","4.9",
"2024 MAR","17","2.2","17","0.1","44","1",,"505","2.0","2.0","1","7","186.7","194.3","6.1","566","6.1","6.1","6.1",
"2024 APR","19","2.3","19","0.1","24","0",,"491","2.2","2.2","0","0","188.8","188.9","5.2","577","5.2","3.9","3.9",
"2024 MAY","19","2.3","19","0.1","15","0",,"475","2.3","2.3","0","2","185.9","182.6","3.8","589","3.7","3.3","3.3",
"2024 JUN","17","2.2","17","0.1","36","0",,"508","2.0","2.0","9","2","190.8","195.2","6.2","598","6.2","3.2","3.2",
"2024 JUL","16","2.3","16","0.1","48","1",,"539","1.9","1.9","5","0","198.7","207.4","13.0","583","13.0","14.8","14.8",
"2024 AUG","18","2.3","18","0.1","23","0",,"523","2.1","2.1","4","5","202.2","201.1","13.1","588","13.1","11.4","11.4",
"2024 SEP","18","2.3","18","0.1","46","1",,"543","2.1","2.1","3","11","200.6","208.6","13.7","594","13.7","11.3","11.3",
"2024 OCT","17","2.3","17","0.1","13","1",,"512","2.0","2.0","1","7","201.7","196.9","13.5","599","13.4","13.8","13.9",
"2024 NOV","18","2.2","18","0.1","19","3",,"525","2.1","2.1","0","5","204.4","201.8","9.7","603","9.5","9.8","10.1",
"2024 DEC","19","2.2","19","0.1","28","3",,"533","2.2","2.2","0","13","204.1","204.7","8.3","607","8.0","7.9","8.2",
"2025 JAN","20","2.2","20","0.1","27","1",,"515","2.4","2.4","0","6","197.1","197.9","9.7","603","9.3","9.7","10.0",
"2025 FEB","18","2.2","18","0.1","40","1",,"532","2.1","2.1","0","2","198.8","204.4","7.4","596","7.5","9.4","9.2",
